object_id,y_true,score,fold
0,1,0.5095258505384643,0
1,1,0.8553482312703304,0
2,0,0.4054065496768416,1
3,1,0.5083683978192748,1
4,0,0.5083283899867299,1
5,0,0.4982961084227644,2
6,0,0.5217875627179098,3
7,0,0.5013815374944117,4
8,0,0.49823640564939153,2
9,1,0.5081755679550843,2
10,0,0.520423079218329,3
11,1,0.49831338676256676,2
12,1,0.5094990581714318,3
13,1,0.5014574175230754,4
14,1,0.5083585419898291,1
15,1,0.5155170971667261,0
16,1,0.4983208888158215,2
17,1,0.5098658872252277,0
18,0,0.507604648597095,1
19,1,0.5014291442019949,4
20,1,0.500891866150695,2
21,0,0.29735869841206664,1
22,1,0.5269929982777437,3
23,1,0.49854500863777024,2
24,1,0.5016233263991238,4
25,1,0.5219774949050825,3
26,0,0.5019454839513903,0
27,0,0.2947502058661475,2
28,0,0.5218710860560923,3
29,1,0.5242357347516872,0
30,0,0.09697988804710836,3
31,0,0.5014082054195911,4
32,0,0.4155235693064378,2
33,0,0.5000379612355309,4
34,0,0.49830897554719716,2
35,1,0.5219922383237275,3
36,0,0.4650805673114122,0
37,0,0.29606226482527565,2
38,1,0.7092063097598975,2
39,1,0.49835264273765967,2
40,1,0.5058063933214423,0
41,1,0.5031089649864511,4
42,1,0.5062888115421867,0
43,0,0.2719217999828756,4
44,1,0.543123061828957,3
45,0,0.5082681361674506,1
46,0,0.5212808600081615,3
47,1,0.521934916050291,3
48,1,0.5053879536732996,0
49,0,0.50833833541122,1
50,1,0.5021100044340328,4
51,1,0.5248148271085614,4
52,0,0.5083329911110622,1
53,0,0.5083359034058669,1
54,1,0.5219870781041762,3
55,0,0.507322098394967,1
56,0,0.500895452014346,0
57,1,0.4997662240318063,2
58,1,0.5054235565718451,4
59,1,0.5053302873390003,0
60,0,0.5083456706695921,1
61,1,0.5219855861265786,3
62,0,0.32708857546088815,1
63,1,0.5056707943393387,0
64,0,0.5071809890613019,1
65,0,0.49380954573047164,4
66,0,0.49011563487306425,1
67,0,0.51116894275461,3
68,1,0.537533776071879,1
69,1,0.5014215082702734,4
70,1,0.5253998916613173,1
71,0,0.5040113083126582,0
72,0,0.503308312303133,0
73,1,0.510778949182062,1
74,1,0.5026304785100881,3
75,0,0.5080829675611465,1
76,1,0.5026312262255582,4
77,1,0.49831203700823457,2
78,0,0.3651035114670307,2
79,0,0.5035936421903703,3
80,1,0.5014353505075277,4
81,0,0.5048900073217353,0
82,0,0.5073969221855525,1
83,0,0.5219635873725299,3
84,0,0.49383120388305957,3
85,0,0.5052461013400433,0
86,1,0.5055027866676396,0
87,0,0.5217399827141789,3
88,0,0.4335104184587203,0
89,1,0.550511658478148,3
90,0,0.4212714622955308,0
91,1,0.5681783795816154,1
92,1,0.5225288721872456,3
93,0,0.5012589533353831,4
94,1,0.5091688495895257,0
95,1,0.5093382262962837,2
96,0,0.4982992858428645,2
97,0,0.508523564901634,1
98,1,0.5083712111114219,1
99,0,0.4677477327367182,2
100,1,0.5028551517207285,4
101,0,0.4434616060189193,2
102,1,0.5197190472204848,3
103,1,0.5015079104652463,4
104,1,0.5029583447532163,4
105,0,0.5217280523668123,3
106,0,0.5203302073096643,3
107,1,0.5014217382352668,4
108,1,0.5084917010940915,4
109,1,0.49832192758714705,2
110,1,0.5014741044279533,4
111,0,0.4457495957171594,2
112,1,0.5113781457624953,1
113,1,0.5079107336063199,2
114,0,0.49853196276237266,0
115,0,0.498878169222758,4
116,0,0.5013615270558909,4
117,0,0.4964569725725474,2
118,0,0.49854081746344553,2
119,0,0.5219393375022422,3
120,0,0.5078738716970322,1
121,1,0.645370557587311,1
122,1,0.5074648276243419,2
123,1,0.49834567567828,2
124,1,0.5324740600082508,1
125,1,0.4984687721172679,2
126,1,0.508465615073373,1
127,1,0.4989011225394595,2
128,1,0.5084584516671333,1
129,1,0.4983413402905037,2
130,0,0.5053301414414312,0
131,0,0.5082152678538733,1
132,0,0.5011721174322207,4
133,1,0.5015162714605899,4
134,0,0.501279503245916,4
135,0,0.5219760891972173,3
136,1,0.5219340741627185,3
137,1,0.4983768741318412,2
138,0,0.46612280935519873,0
139,0,0.5078649436347782,1
140,1,0.5060393284908093,0
